Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	turnover
32800	-2003.969	-1665.122	-338.847	59.55542	0.01431691	-0.005775341	0.1673628	0.06987878	17	63.47533	0.1615875	45.4971	14.8258	23.4081	27.0933	25.4735	13.9257	17.2186	18.2127	19.6033	11.9254	15.0664	8.0924	10.9889	11.8989	11.0083	4.16208	5.23505	6.91801	6.25798	7.34138	20.5514	20.7501	22.5811	17.9758	19.4391	25.9256	23.1526	23.3863	27.6015	36.9051	27.2645	31.5736	27.405	39.2344	42.4713	43.2157	43.1753	44.3355	1.035741
32900	-2000.382	-1659.886	-340.4961	54.42651	0.01355555	0.01110572	0.1219903	0.07771417	17	62.85237	0.1330961	45.1398	14.8258	25.0004	27.597	24.8263	11.5696	14.6025	20.4043	17.8626	14.0097	14.8872	8.44053	10.4651	11.5414	9.9042	6.90126	5.13347	7.37063	7.1456	8.95868	21.1787	20.7501	22.5811	16.1443	18.4627	26.2351	23.1526	23.3863	27.6015	36.8459	29.4136	28.4212	27.1496	39.9047	46.003	42.963	44.0337	42.3962	0.9165586
33000	-1992.779	-1660.145	-332.634	53.81777	0.01562585	0.03111827	0.1451637	0.08619254	18	65.96762	0.176282	47.5005	16.4307	24.425	27.3546	24.8263	11.3446	16.4032	18.338	20.3899	12.8077	14.8872	7.75693	9.33173	11.9671	11.4352	5.40004	5.20671	9.19086	13.9615	6.8143	21.8056	21.2756	21.4255	18.8136	18.6112	25.2427	23.1675	23.2023	27.6015	37.8931	24.4393	28.4212	25.322	39.9047	47.675	42.9299	43.7773	36.6188	0.8234745
33100	-2002.605	-1669.575	-333.0294	54.20055	0.01375509	-0.0251707	0.1690826	0.09636995	19	65.65369	0.1439119	44.7163	15.5057	23.6349	27.7425	24.8263	12.3273	15.7429	19.0351	20.3899	14.0836	13.9495	7.69594	10.9399	12.3279	11.0161	4.07652	5.33051	8.15736	7.37007	9.16836	20.9154	22.6775	21.5815	19.0836	21.6047	26.3179	25.4581	23.2023	27.6015	36.9863	26.4015	32.0998	25.322	39.9047	47.675	41.3431	45.6372	37.1388	1.174904
33200	-1988.609	-1656.135	-332.4737	54.27553	0.01569233	0.01824568	0.2101414	0.06216686	16	65.25136	0.228387	46.0138	15.5057	24.5463	26.4068	24.8263	13.8614	17.4949	16.6913	20.3899	15.2016	14.1315	8.41029	10.6126	12.3279	10.3656	4.85002	5.33051	9.62666	12.7631	19.5326	20.8802	22.6775	20.5472	19.7997	21.7951	27.0698	25.976	23.2023	27.6015	36.2899	27.31	29.664	25.8235	40.4726	47.675	42.0439	44.6194	33.9389	0.9201107
33300	-1988.349	-1660	-328.3496	53.40845	0.01370151	-0.003051649	0.2510362	0.068155	16	60.7665	0.2479845	46.0138	15.8387	24.3798	25.5446	25.0821	13.5429	19.6411	19.6672	20.3899	14.1639	14.123	10.1451	8.43761	12.3279	8.98638	3.79141	5.33051	9.92997	14.7149	19.5326	21.1734	21.7128	20.5472	17.0719	19.838	27.0569	25.976	23.2023	27.855	36.2899	25.2065	31.2084	25.8235	39.7858	47.675	41.8944	45.9316	34.0183	1.012306
33400	-1987.466	-1642.807	-344.6597	54.91006	0.01266093	0.02476153	0.192661	0.05774432	13	68.01676	0.2174226	46.9709	16.7483	23.863	25.998	28.0397	14.2205	12.2769	16.8198	20.3899	14.6519	13.886	7.56394	10.6043	12.1309	11.442	5.98141	5.33051	10.2277	15.3918	16.4348	21.8816	21.1668	20.9334	16.5669	19.0254	27.6959	25.976	23.2023	24.7801	37.7819	26.9607	31.2084	24.6367	39.7858	42.2566	45.7248	44.89	39.8593	0.8861133
33500	-1987.269	-1644.782	-342.4866	55.60248	0.01439587	0.01309496	0.1498149	0.07592346	14	68.04224	0.1629099	45.2144	15.6559	23.3773	25.9922	27.4981	14.057	11.4654	19.9078	20.3899	14.3553	15.8155	9.80916	10.9429	12.1309	9.99451	5.87047	5.33051	5.43623	15.3918	14.5682	21.5771	21.1668	20.6734	17.1764	17.3672	27.6778	25.5002	23.1462	26.017	37.7819	25.6552	33.3613	24.6367	40.9045	42.0927	42.6774	44.7633	44.8762	0.9196184
33600	-1989.558	-1654.591	-334.967	52.79148	0.01606975	0.008309055	0.1990792	0.0537075	15	69.04088	0.2073883	44.6094	16.3343	23.3966	26.049	24.4385	13.2651	14.431	18.3152	17.2527	12.5217	15.6011	9.80916	10.1086	12.4479	10.9799	5.74574	5.33051	8.12821	10.5107	13.6696	22.0724	21.5366	20.801	16.8963	17.1605	25.0276	25.5002	23.2857	26.8022	37.7819	27.0408	29.4737	23.9406	39.5361	45.0812	45.3576	42.2312	44.8762	0.9599348
33700	-1992.113	-1654.612	-337.5011	52.10885	0.01396502	0.004936656	0.1782828	0.06599643	15	60.57497	0.1832195	45.5726	15.9623	24.5255	26.6427	23.883	13.0997	18.832	19.6015	19.6829	11.7954	15.1263	7.63	9.8084	12.4479	10.8765	7.45705	5.03462	6.54437	10.5107	13.3277	22.266	21.4667	20.801	16.8632	21.3253	24.6264	23.4412	23.2857	26.0733	36.9537	26.154	31.5859	25.0339	39.5361	45.0812	43.1812	44.9559	37.2649	0.9730561
33800	-2002.504	-1667.887	-334.6173	56.50132	0.01321732	0.01490722	0.1058731	0.06645469	18	76.387	0.1207803	45.7398	17.708	24.0853	26.3752	23.6674	12.9385	13.8125	19.6015	19.3507	13.1725	13.844	9.86932	9.94467	12.2137	10.8765	4.40158	5.03462	7.83844	13.5327	8.05489	21.863	22.622	20.6039	20.7963	19.3648	26.8383	25.9945	23.2857	26.0733	37.045	29.0891	31.5859	28.0725	39.5361	46.2233	43.9831	44.533	39.2926	0.8765757
33900	-1984.585	-1655.415	-329.1694	51.70841	0.01606747	-0.03105146	0.1534048	0.06969092	17	61.56025	0.1223534	45.7368	17.1261	23.1295	27.0247	28.1975	13.0033	17.1024	16.7915	19.4826	13.2095	15.3697	7.60602	9.57633	12.2447	10.8765	4.70089	5.03462	8.73904	15.227	10.1778	20.8085	21.6262	22.1741	19.6008	17.2495	27.2152	23.0487	23.2857	27.8559	35.8407	26.0513	29.4381	26.9927	39.5361	47.6178	43.9784	45.3905	36.4231	1.253785
34000	-1994.71	-1649.05	-345.6603	54.27731	0.01362566	0.01596214	0.1821558	0.04862156	11	60.51536	0.1981179	45.7368	14.8264	23.7699	27.5825	27.1928	15.5433	16.113	17.8885	20.4384	15.722	14.0203	9.8283	11.3355	12.473	11.5232	5.20573	4.94131	7.80013	15.9649	10.1778	21.0944	21.6262	22.7107	16.6899	20.0435	27.1837	24.7539	23.7222	24.4187	34.987	24.4428	31.8726	27.0625	39.5361	47.6178	44.6998	43.0472	35.2996	0.9194311
34100	-1988.002	-1653.36	-334.6425	58.08095	0.01380663	0.01009666	0.176667	0.05396002	17	60.56944	0.1867636	45.7368	14.3186	23.3282	27.2564	24.8983	16.3691	17.4718	17.5044	19.8123	14.2511	15.0754	7.77598	7.69645	12.2993	10.6798	2.67772	4.94131	10.2712	12.4805	10.0431	20.7796	22.9622	21.715	16.6899	19.8119	27.5217	24.3382	23.7222	25.9973	34.6281	26.8683	33.8791	27.4301	39.5361	47.6178	44.281	43.3458	40.6175	0.9459389
34200	-2003.452	-1660.881	-342.5712	59.09789	0.01219008	-0.0001515713	0.1730106	0.0471832	15	61.75392	0.172859	45.7368	15.9437	23.4086	27.7961	25.9209	15.7226	20.2469	19.0906	19.8123	15.4335	15.0754	9.04051	11.4771	12.2665	11.2737	8.78542	4.94131	9.35083	8.35764	10.4456	20.9736	22.421	21.0489	17.5994	18.8308	27.7906	24.3382	24.2769	27.6104	34.6281	23.9032	31.8347	26.8215	39.5361	42.078	47.4257	44.0216	45.8107	1.000877
34300	-1997.358	-1661.749	-335.6096	52.18413	0.01484645	0.003836704	0.14971	0.04690169	16	67.81352	0.1535467	45.7368	15.316	23.1745	26.1462	26.2448	12.6126	15.9154	17.9402	20.1751	14.9612	14.6946	9.94957	9.96135	12.2665	10.5858	5.28362	4.94131	10.0647	12.2813	13.2911	21.5833	22.0293	20.8437	18.375	18.8308	26.9806	24.3382	23.7066	27.6104	36.2352	29.566	33.127	28.4241	40.2624	42.2995	44.6596	42.2308	45.8107	0.9750128
34400	-1979.603	-1644.117	-335.4853	49.89359	0.01361755	0.003061809	0.1689395	0.06958533	14	59.22403	0.1720013	45.7368	14.4146	24.0298	26.732	25.9109	14.9586	17.9386	18.6683	19.7861	12.997	15.1728	10.6043	8.96493	12.4073	9.6796	4.62569	5.07319	6.15042	13.5152	17.8963	22.5973	21.3139	21.4925	16.7973	18.8308	28.0818	23.1807	23.0478	27.6104	36.2352	23.6268	33.4814	28.2089	40.2624	42.2995	42.2089	41.5081	36.0335	0.9821989
34500	-1986.56	-1649.062	-337.4979	50.42744	0.01574373	0.07553174	0.1782339	0.06909795	14	62.32146	0.2537656	47.376	16.1614	24.1823	26.6327	25.2793	11.4435	14.2995	18.9108	19.9288	14.2111	14.2038	7.90989	7.79599	12.168	8.14453	3.14716	5.07319	9.67235	14.7677	15.888	21.0523	21.3139	21.2769	17.0866	22.2147	27.8821	23.1807	23.0478	27.4725	36.2352	23.1502	33.1395	27.724	40.0259	43.7118	43.2498	42.5843	36.0335	0.7023563
34600	-1994.138	-1652.404	-341.7344	53.81844	0.01464722	0.002256599	0.09489906	0.06868257	15	63.60721	0.09715566	47.376	15.0392	23.7807	27.618	24.5544	12.9689	18.246	16.6201	19.9288	14.6423	14.2038	7.90989	11.2812	12.168	7.5574	4.51154	4.91534	10.0334	14.0168	16.6707	21.8466	21.7878	21.2769	16.541	17.6429	26.6363	23.1807	23.0478	27.4725	37.1114	24.1046	30.8806	28.8751	40.9882	43.1438	47.6952	43.1741	36.3018	0.9767734
34700	-1993.754	-1653.365	-340.3894	53.4358	0.01421778	0.01063493	0.2898694	0.04343356	14	67.04313	0.3005043	47.7711	15.7424	24.1195	28.0288	26.4692	12.4433	19.481	19.5503	18.2008	14.5962	15.7632	9.32318	9.85726	12.168	10.7521	6.4903	4.91534	5.91293	15.106	20.1694	21.5708	21.0496	21.2769	16.541	21.3567	28.0351	23.1807	23.0478	27.8181	36.5944	24.1873	33.1817	27.3495	40.9882	41.9783	44.3848	43.4441	34.3097	0.9646097
34800	-1982.77	-1651.554	-331.2154	51.26799	0.01717311	-0.009245701	0.2101483	0.06976977	16	59.91693	0.2009026	47.7711	14.0499	23.2108	25.8465	25.7954	13.3756	16.3456	17.2051	18.7433	13.9589	15.0522	10.9665	8.90625	12.168	10.7963	4.38441	4.91534	7.22619	15.0894	20.1694	20.4403	21.7524	20.9688	17.4271	20.4648	26.642	23.1807	23.0478	27.5111	36.5944	27.7683	33.0436	26.5458	39.4226	41.9783	42.5339	41.6578	34.3097	1.046021
34900	-1991.02	-1662.796	-328.2241	52.53636	0.01723891	0.04281966	0.1053087	0.07135011	17	62.20515	0.1481284	47.7711	14.0499	23.1399	26.5783	26.2003	12.7137	18.0571	19.3622	18.7796	13.7707	14.707	8.805	8.98068	12.4427	10.7963	6.03067	4.91534	10.1775	15.1264	15.1835	20.8011	21.2524	20.7795	17.4271	21.4438	24.0301	23.1807	24.0696	26.22	36.9424	24.9467	33.307	25.8172	39.3938	41.9783	42.2024	41.6578	39.0919	0.7109287
35000	-1984.857	-1651.792	-333.0656	52.45286	0.01643898	-0.005358427	0.170613	0.06651577	17	70.02496	0.1652546	45.6772	14.0512	24.6783	26.9508	25.0149	12.4755	17.7032	16.0211	19.9591	14.5679	13.8394	7.73178	10.8	11.6044	10.7963	4.32926	4.99392	9.03568	14.1432	8.97551	20.6244	22.8206	20.7795	16.8596	21.4438	24.1529	23.4863	24.0696	26.22	37.7682	26.7274	33.0622	25.9382	38.1371	43.8881	44.4094	41.6578	38.3152	1.032425
35100	-2006.123	-1659.901	-346.2219	52.47422	0.01350535	0.04382119	0.2166273	0.05285794	14	61.23391	0.2604485	46.6784	15.5948	24.275	27.0886	25.8428	19.2214	18.6103	16.0211	19.4005	14.5473	13.8394	7.50759	7.90219	11.0861	10.7963	5.00321	4.99392	9.03568	16.1748	7.52343	21.8743	22.0529	20.7795	16.1686	19.7873	23.3885	23.4863	23.6539	25.9755	37.7682	23.2264	33.8439	25.5948	38.1371	41.3278	44.5602	42.0072	35.4057	0.8317472
35200	-1993.109	-1653.181	-339.9282	52.69273	0.0127593	0.008117342	0.2324799	0.05158115	16	68.42665	0.2405972	46.6784	14.074	23.7488	27.7368	28.0295	13.8007	15.096	16.1795	18.7698	13.9542	13.8394	7.98856	7.12148	10.7893	8.21447	4.43439	4.99392	8.92387	16.2699	7.92916	21.8555	21.2929	21.0531	16.8835	22.3715	27.4822	23.4863	23.6539	25.9755	37.8119	23.2493	32.7964	26.1377	39.224	41.3278	45.1499	42.4609	36.5184	0.9662617
35300	-1991.912	-1651.123	-340.7887	55.37644	0.01271189	0.0009456463	0.2262996	0.06657965	16	68.27226	0.2272453	46.6784	16.6551	23.3159	27.9492	26.478	15.8851	15.4857	20.1592	20.1808	14.4605	13.898	10.6878	10.2326	10.6307	8.45061	7.27397	4.9075	8.84343	16.2699	7.38718	21.8732	20.6081	22.0923	16.0448	22.2873	27.9201	23.9684	23.6539	25.9755	37.4241	28.3845	33.523	25.3757	39.224	46.1291	44.6352	46.5415	36.5184	0.9958387
35400	-2001.447	-1645.52	-355.927	62.61627	0.01155939	0.01401848	0.197356	0.05605365	11	63.5522	0.2113745	46.6784	15.0823	23.4041	27.7901	26.2736	13.2549	12.3982	17.035	20.1808	14.9911	13.898	8.92441	10.7271	11.9024	11.5575	4.12846	4.9075	8.84343	16.2699	9.71846	20.4894	20.956	21.1542	16.9609	20.5973	24.3404	27.5682	23.6539	25.5945	37.4241	25.9699	33.9	24.9658	38.0169	46.6197	45.6506	46.5415	42.168	0.9336794
35500	-2002.033	-1650.048	-351.9844	61.97554	0.01209614	-0.01633208	0.1800265	0.04282552	12	62.9477	0.1636945	47.4305	15.9642	23.1412	27.9518	28.1053	12.2597	17.3749	16.639	20.27	13.4454	14.9425	9.37215	10.4661	11.9024	11.3103	3.62252	4.9075	8.48326	13.9718	9.84962	21.9131	21.9044	21.2152	18.1343	20.5973	24.3404	27.9245	23.6539	25.6927	37.4241	25.3846	33.805	26.4608	39.2184	46.6197	44.5187	46.3022	42.168	1.099772
35600	-1987.304	-1642.799	-344.5044	52.79462	0.01333327	-0.01439837	0.2836788	0.03939499	13	60.80266	0.2692805	47.4305	15.0055	23.1412	27.7951	27.7257	11.8166	17.0746	19.8868	20.27	13.3066	13.9175	9.17497	8.72983	12.1862	10.0926	4.05508	4.9075	8.73728	13.5257	11.947	21.9131	21.9044	20.6408	17.5882	20.2034	23.6925	23.6889	23.1738	25.5152	37.4241	25.3846	32.6132	25.2653	39.2184	46.6197	43.4377	44.0681	34.8299	1.05347
35700	-2008.271	-1650.246	-358.0244	58.07869	0.01263558	-0.03559266	0.1504333	0.03314325	13	66.67365	0.1148407	47.4305	15.0055	23.7352	27.533	28.1104	12.7072	12.7307	19.2675	20.2863	12.3733	15.0972	7.37958	8.35252	12.0994	10.0926	4.9322	4.92921	9.05	11.7686	10.84	21.3532	22.5196	21.0686	16.4645	19.3917	26.5272	23.6889	23.1738	24.7087	37.1632	28.6623	32.633	25.0814	39.8987	46.6197	45.5203	42.4686	34.8299	1.309931
35800	-2011.371	-1661.392	-349.9788	51.4812	0.01455983	0.04569038	0.1766572	0.06033404	13	65.50114	0.2223475	47.4305	13.9674	23.2625	28.0979	25.382	13.9084	9.56941	19.2675	20.2097	13.4745	14.036	10.8124	9.68383	12.4319	8.25579	4.24509	4.92921	10.242	9.66692	10.6634	22.5119	22.5953	22.7084	18.0839	21.7784	27.5348	23.6889	23.1738	24.4341	36.3394	30.2239	30.5126	24.4391	39.9512	43.8408	43.8139	43.4173	40.252	0.7945092
35900	-1994.602	-1653.227	-341.3742	52.44145	0.0138634	0.005183945	0.1848293	0.06617907	14	61.94886	0.1900132	47.4305	15.9657	23.4281	27.7997	23.8241	13.0996	10.5388	20.0156	20.2097	12.2906	14.036	11.1836	11.1387	11.5948	8.55798	4.80774	5.03305	8.60138	16.2888	8.93553	20.8556	22.928	21.2447	21.2494	17.0683	25.5295	23.6889	23.1738	27.5696	36.798	30.6301	30.3386	24.2857	39.3334	43.4486	45.2576	43.3766	36.6774	0.972718
36000	-1989.966	-1651.054	-338.9118	56.85076	0.01291157	-0.01724458	0.179188	0.06133703	16	59.21482	0.1619435	47.4305	17.4498	23.4609	27.8284	24.4028	14.1024	12.2367	20.0156	20.3559	14.6654	14.5276	8.20668	9.04288	11.5948	11.2101	3.24094	5.03305	8.97674	14.3088	10.5703	22.7442	21.3059	21.4016	17.5591	17.9617	25.5492	23.6889	23.1738	27.5696	37.1233	27.3151	30.4538	24.0983	39.3334	46.8018	42.7448	43.3786	36.0765	1.106485
36100	-2003.037	-1653.79	-349.247	60.54347	0.01418975	0.01615382	0.2162998	0.04184621	14	65.41119	0.2324537	47.4305	19.154	23.9856	28.0508	23.8097	11.6462	15.1694	16.8728	20.3559	12.3985	15.0124	9.06284	9.36432	12.1017	9.98054	4.5595	5.03305	7.67098	12.8616	13.4357	22.7442	20.7544	22.2335	18.1598	20.754	27.2887	23.6889	23.1738	27.6886	37.1233	26.863	30.3201	26.0278	41.1877	46.8018	44.1046	45.9237	42.9517	0.9305073
36200	-2006.383	-1659.438	-346.9448	56.72549	0.01357105	0.01105912	0.2264323	0.06462827	13	61.99898	0.2374914	47.4305	18.0202	24.3056	27.8004	23.8097	12.8531	14.9324	16.8728	20.3559	14.7213	13.8465	9.17192	8.43235	10.7895	10.5833	3.76753	5.03305	7.93396	15.7639	6.7291	21.0918	20.7544	20.6314	16.7976	22.5652	24.4048	23.6889	23.1738	27.6886	37.8699	26.6472	28.8627	25.736	39.7049	46.5155	46.4478	45.6528	36.1332	0.9534336
36300	-1988.607	-1645.5	-343.1072	54.50958	0.01329871	-0.02729128	0.2188167	0.04741078	13	59.78297	0.1915254	47.4305	13.8927	24.8874	27.3293	23.8097	15.179	17.2602	18.0727	20.3559	14.6006	14.893	7.64699	10.163	12.1179	11.351	3.26196	5.03305	7.39575	15.1656	9.48805	21.0918	22.0873	20.6314	16.023	22.2017	27.6403	24.169	23.1738	27.6886	35.3687	28.2801	32.345	24.2971	40.7701	46.5155	42.613	42.3018	35.7452	1.142494
36400	-1998.045	-1651.701	-346.3433	54.72339	0.01229821	-0.05909117	0.3307112	0.04713719	15	59.83189	0.27162	47.4305	13.8585	24.8874	26.6415	24.687	17.3637	12.9595	17.5184	20.3559	14.243	15.3976	9.52956	11.3575	12.2284	11.351	6.75964	5.21633	9.85968	15.6972	10.0145	22.1917	21.8145	20.526	16.5483	21.3729	26.6435	24.169	23.4035	27.7324	35.3687	28.6527	29.3013	24.2533	39.36	44.3421	42.8676	46.1404	37.1758	1.217551
36500	-1997.867	-1645.123	-352.7437	55.28419	0.01207458	-0.01886222	0.1524027	0.0923707	13	69.20511	0.1335405	47.6287	14.5244	24.0401	27.783	24.687	12.3377	12.2003	17.5184	20.3559	13.4347	15.3976	7.69661	9.57216	12.2284	11.351	2.60614	5.03226	7.90011	15.6972	8.52652	20.5489	21.0311	20.8125	18.2404	19.639	26.7488	24.169	23.7878	27.7324	35.3687	23.8509	31.8261	23.3436	39.36	46.1726	46.1054	43.8486	34.4305	1.141247
36600	-1995.998	-1644.674	-351.3239	54.86862	0.01275703	0.03162765	0.3377914	0.03993044	12	59.8943	0.369419	47.6287	14.5244	25.3439	27.5928	26.3706	11.5394	15.8033	19.6224	20.3559	15.1134	13.9386	7.5806	9.1975	11.7633	9.3281	4.17997	5.03226	6.34636	15.6972	12.531	20.5489	21.3851	20.8125	18.0838	19.4003	26.2441	23.3888	23.6132	27.7324	36.7039	25.5564	30.2046	27.1427	39.36	43.5264	45.4284	45.6695	34.4305	0.9143854
36700	-1988.741	-1650.934	-337.8069	53.50315	0.01288811	0.01046813	0.1328998	0.0584156	16	63.62403	0.143368	47.6866	15.977	23.2276	27.3372	24.2951	17.8319	15.3037	20.1479	19.9226	15.3343	14.6563	9.23944	9.11157	12.2488	11.4819	4.87107	5.19362	8.41058	15.9792	10.0786	22.8489	21.4679	20.8125	17.7223	19.8896	27.7595	23.3888	23.6132	27.8051	37.8145	30.3304	31.3286	24.5814	39.4019	43.9983	46.0505	42.678	46.6828	0.9269842
36800	-1995.745	-1651.873	-343.8712	53.2262	0.01229583	-0.01360453	0.2552531	0.06864775	16	62.89059	0.2416486	47.6866	17.3112	23.1531	27.8819	25.2237	11.6221	13.8153	20.3903	18.557	14.9763	14.2353	7.87282	6.8492	12.3027	8.89302	4.87107	5.19362	8.25177	15.5132	8.22263	22.8489	20.4991	22.1631	17.5714	19.8896	26.853	24.9075	23.6132	27.8051	37.9642	25.0376	29.1339	23.8649	39.4019	42.5698	42.3379	42.9341	47.7194	1.056299
36900	-1990.909	-1642.337	-348.5713	54.07556	0.01342381	0.05252376	0.1438146	0.05665685	14	60.43236	0.1963383	47.6866	15.0413	23.1531	27.6737	23.7269	12.9395	7.086	20.3903	19.2051	14.9763	14.2353	7.69814	11.2083	12.3027	10.2491	6.57238	5.19362	8.25177	13.264	5.22245	22.8489	20.4991	20.9738	16.1045	22.0998	25.4929	23.8994	23.6132	25.3848	37.5918	26.1731	29.1339	25.3054	39.4019	43.6105	44.5108	43.0573	46.5528	0.7324834
37000	-1995.128	-1647.162	-347.9661	55.3619	0.01215382	0.005008608	0.09778876	0.08491795	15	61.05581	0.1027974	47.6866	14.7383	23.1531	27.934	24.2463	14.1835	11.1487	19.3587	19.2051	14.0123	13.983	8.04102	7.31466	10.8401	8.90055	2.89693	5.19362	6.57399	12.7517	8.81385	22.8489	20.4991	21.2506	17.1379	20.5848	26.9831	23.8994	23.2762	26.7625	35.671	26.1641	29.1339	24.589	40.9995	47.6817	44.5367	44.3286	35.4302	0.9512769
37100	-1993.268	-1648.198	-345.0697	52.04279	0.0141625	0.01962652	0.1456845	0.04414302	15	74.17307	0.1653111	47.5014	15.6983	23.1531	27.7437	23.6411	14.0627	12.8217	20.1052	16.8488	13.895	14.5702	8.04102	11.1383	11.2772	11.0107	5.85233	5.19362	8.76478	15.0429	14.2159	21.4082	20.4991	22.5949	16.1992	20.7398	25.6337	23.8994	23.2762	27.0418	37.7673	24.601	32.6434	24.0645	40.4319	43.5492	43.0938	42.9173	36.0772	0.8812752
37200	-1987.193	-1642.327	-344.8661	57.55457	0.01246102	0.01112978	0.1886411	0.06180703	13	62.26557	0.1997709	46.6669	15.6983	23.1531	27.994	24.4517	14.7172	14.08	20.1052	20.1258	14.8032	14.4179	11.034	10.083	11.5335	11.3263	4.24414	5.25306	9.52161	16.2071	15.0662	21.1267	20.8755	22.5949	18.0534	19.2498	27.9263	23.8994	23.2762	27.0418	34.4203	25.4125	29.6274	25.1851	40.7275	47.7545	43.7227	42.9469	36.0772	0.9442873
37300	-1999.998	-1639.818	-360.1799	58.77885	0.01181607	0.007702413	0.2495389	0.05252305	11	59.22505	0.2572413	46.3068	16.8623	23.2213	27.8855	26.6126	17.1222	10.7507	19.2286	19.5862	15.5177	15.0044	8.95192	10.083	11.5335	11.3263	5.91532	5.25306	7.32472	13.2025	13.6754	20.9268	20.8755	22.5949	17.1521	19.192	26.3484	26.7186	23.2762	27.0196	37.2252	24.7651	31.8927	23.1712	40.1314	44.8129	45.5269	47.6093	41.1514	0.9700576
37400	-1991.762	-1639.026	-352.7359	59.33543	0.01114075	0.05376553	0.2075469	0.03894857	14	67.53993	0.2613124	46.3068	17.3037	23.043	27.3257	24.4635	18.1426	11.8647	17.462	20.2644	12.259	15.4148	7.85827	7.68155	12.038	8.58594	3.77243	5.15682	9.66563	14.6647	7.08843	21.4466	21.6588	22.5684	16.8958	17.0229	26.3484	23.0341	23.2762	27.0196	37.2252	27.5742	32.4081	24.8268	40.1314	46.5749	44.3771	44.563	34.4015	0.7942481
37500	-1994.306	-1645.705	-348.6009	60.08307	0.0127783	0.02523546	0.1724336	0.05934197	13	62.57776	0.1976691	43.171	15.3125	24.3384	27.6529	25.9583	17.4471	14.2825	17.5394	19.3419	13.7058	14.4308	10.896	7.24265	12.1905	9.12212	3.32427	5.15682	9.66563	15.3448	10.582	21.3379	20.8527	21.8498	16.8958	22.8111	26.3935	23.0341	23.2762	27.1781	36.9552	23.1747	32.7108	23.3413	40.1314	47.7264	42.8473	41.3809	37.2786	0.8723348
37600	-2002.338	-1649.067	-353.2708	53.28532	0.01120694	-0.009250358	0.2167979	0.04419099	12	61.05866	0.2075476	43.171	14.9977	23.0945	26.4288	26.8317	15.2516	15.0468	16.5578	19.3419	14.7046	14.2981	7.89259	10.9995	10.2387	9.55377	4.4256	5.15682	9.66563	11.986	6.89511	20.8857	20.8527	21.8365	18.3363	17.0124	27.813	23.0341	23.2762	24.296	37.8645	24.2098	32.7108	23.2534	38.4626	43.7393	45.1505	42.9595	47.4949	1.04457
37700	-2005.384	-1651.341	-354.043	55.32523	0.0121689	-0.03643193	0.2360337	0.0518066	16	60.03624	0.1996018	43.171	14.584	24.0068	27.2154	26.4225	15.2504	16.686	18.6496	19.3419	14.0117	14.3855	9.70876	9.21783	10.2387	7.5971	5.88693	5.15682	7.82369	7.06827	4.46873	22.757	20.8527	21.8365	16.2689	21.8093	27.813	23.0341	23.2762	27.6514	37.3662	27.157	30.9476	24.1631	40.4455	43.7393	46.335	42.9595	34.3217	1.182523
37800	-2009.711	-1656.682	-353.0299	58.82929	0.01325759	0.022445	0.11659	0.04581199	15	87.72888	0.139035	44.0609	14.3508	23.1468	27.0829	24.5679	19.2073	13.1003	17.0359	18.9517	14.2131	15.2919	9.50664	11.2152	12.488	10.3516	7.96518	5.15682	10.1257	8.06408	12.7519	21.2825	20.5743	20.8529	16.2112	20.3426	24.8843	25.9374	23.3056	26.6241	34.9575	29.5664	33.1264	24.565	40.9072	46.8896	41.909	46.953	34.3217	0.8385658
37900	-2000.245	-1665.545	-334.7007	53.24981	0.01249923	0.02471423	0.1195685	0.07464931	18	62.89292	0.1442827	44.0609	16.8064	23.1468	27.5358	25.4008	14.0028	15.6787	18.3986	19.8058	14.9561	15.2919	9.63287	9.17086	12.488	10.7492	5.29603	5.15682	10.1257	11.8351	15.5435	20.5142	20.5743	22.1886	16.4102	19.8849	26.3262	25.9374	23.3056	27.1547	35.2277	24.7246	33.1264	23.1596	39.9395	46.8896	42.7554	47.3618	34.3217	0.8287097
38000	-2010.364	-1659.552	-350.8116	60.58127	0.01190972	0.0005823924	0.1923141	0.07914635	15	62.16773	0.1928964	46.3963	16.0204	24.0662	26.7904	24.2154	17.5163	12.7139	19.3136	20.1184	12.5436	14.6849	8.21189	6.99572	12.488	10.7492	3.7299	5.15682	9.75139	14.2823	18.1677	20.5142	20.6193	20.9946	19.1886	22.4471	24.8388	26.3409	23.6822	27.1547	35.3401	26.7669	33.739	24.0029	38.6849	45.6624	43.5886	46.4259	40.5948	0.9969808
