Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	turnover
1100	-1989.62	-1651.135	-338.4853	55.81558	0.01441635	0.006981073	0.1590966	0.0765961	16	61.13464	0.1660776	46.1058	13.9817	23.8685	26.9436	25.0958	11.4346	15.4604	17.5062	20.2158	13.1835	13.8844	7.37897	8.99507	12.0855	10.3925	3.98257	5.11838	8.84093	14.2764	9.10001	20.7354	20.752	22.5637	20.3816	20.5108	25.8902	24.0014	23.5168	27.7591	37.1477	30.0222	33.8614	27.7813	40.1271	44.2666	43.1087	45.6047	36.882	0.957965
1200	-1991.65	-1652.747	-338.9029	58.80654	0.01419478	0.01839086	0.1632251	0.06840332	16	64.52413	0.181616	46.2334	15.3607	24.5165	26.7157	25.7934	11.199	19.8145	16.0157	20.4151	13.0617	15.6944	7.37897	7.87993	11.5176	11.3624	4.08584	5.11838	5.38052	16.043	10.4581	21.4853	20.9851	21.3095	17.8157	17.5297	27.9301	24.1832	23.9282	26.8006	37.8125	28.5733	30.9916	27.7813	38.2627	44.2666	41.4321	43.4463	38.3094	0.8987376
1300	-1987.789	-1643.452	-344.3371	54.2584	0.01311484	0.01136379	0.2498309	0.04032615	13	62.25951	0.2611947	46.2334	13.9626	23.1747	26.0962	26.6638	12.7149	14.0938	16.7542	20.4151	14.8903	15.6944	8.64049	10.8521	12.4015	10.7644	3.21632	5.11838	7.14285	11.0117	10.721	20.6886	20.9851	21.3095	17.2317	17.5297	27.3115	24.1832	24.0171	26.0903	36.2366	26.6848	29.2109	27.7813	40.2413	44.2666	41.4321	42.652	33.9746	0.956493
1400	-2003.76	-1656.257	-347.5026	52.72394	0.01466228	0.01400434	0.1926576	0.05455228	12	61.95156	0.2066619	43.5487	13.9626	26.0526	27.6554	26.8977	13.7453	17.7707	19.3969	18.283	14.5605	14.6299	9.95013	9.53162	12.2191	10.5174	5.12463	5.11838	6.32071	10.463	9.53792	21.5678	20.4942	21.3095	17.2317	17.8533	24.8802	24.3988	23.1423	27.4379	36.7075	26.0138	29.1681	28.0756	39.6607	44.2666	44.2735	42.1589	33.9746	0.9322355
1500	-1988.961	-1644.273	-344.6884	55.49835	0.01263722	-0.005865221	0.1692246	0.06755657	13	59.73778	0.1633593	43.5487	15.6136	23.4843	26.932	24.087	15.0784	16.0403	19.3969	20.0508	14.0255	14.6299	11.3993	9.58501	12.3464	10.6591	6.83221	5.11838	7.80128	14.432	9.12694	21.3615	20.7531	21.6816	17.2317	18.3104	26.3928	24.3988	23.1423	27.4379	37.945	29.8281	29.1681	25.6759	40.4407	44.6549	44.5337	43.4181	37.3589	1.035904
1600	-1986.967	-1642.601	-344.3662	54.48689	0.01483832	-0.01886674	0.2893051	0.03747142	13	59.39515	0.2704383	44.5735	14.6671	23.5648	27.6254	27.3438	15.2339	17.9859	18.8568	20.3017	15.5586	14.6299	8.95481	9.57506	12.1856	10.8007	5.75311	4.97057	8.54302	16.2395	8.6209	21.2567	22.0137	20.9535	16.1514	18.2108	27.2391	26.8945	23.1423	27.6848	37.945	26.9021	32.6266	25.1401	40.8459	45.2125	42.0526	46.5436	34.0836	1.069764
1700	-1983.267	-1649.615	-333.6514	51.30583	0.01660387	0.05031933	0.1937059	0.04552	16	62.92821	0.2440252	44.5735	17.6304	23.3756	25.2857	27.3438	13.8693	18.4008	17.3478	20.3275	13.0841	14.6299	7.25244	10.8079	12.0869	10.2261	4.79682	5.14957	9.01493	16.2395	11.6071	21.2567	22.0137	21.4313	16.1514	18.3316	27.9972	23.8369	23.1423	27.6848	37.945	24.4643	30.2373	25.1401	40.8459	44.8586	41.6811	42.2495	34.0836	0.7937945
1800	-1998.534	-1646.73	-351.8035	55.7871	0.01356852	-0.01483438	0.27438	0.03789414	12	67.88478	0.2595456	44.5735	16.7171	23.3756	24.7274	24.8377	13.6074	16.4357	18.7584	20.3275	15.2176	14.0149	9.93953	10.8079	9.53017	11.0875	7.47425	5.14957	8.86773	16.1796	8.3869	21.2854	22.0137	21.7249	15.9835	17.5387	25.6879	24.5155	23.1423	24.5809	37.941	24.5054	30.9389	25.6179	40.4167	41.9179	43.3169	43.412	34.9359	1.057155
1900	-1994.403	-1648.514	-345.8889	55.64166	0.01495142	0.01480747	0.1995258	0.06295924	12	59.72221	0.2143332	44.6996	14.5218	23.9892	26.1205	23.3305	13.1068	15.3497	20.1461	19.9332	12.9324	14.405	8.96991	9.53762	11.7447	9.55754	4.41419	5.14957	8.34303	15.7144	9.69353	21.5568	22.0729	20.7974	15.9835	19.0733	28.0746	26.5525	23.466	24.3659	37.941	25.0141	33.7338	23.5723	41.0675	44.4958	41.7393	41.975	36.4054	0.9309138
2000	-1995.892	-1653.081	-342.8116	55.11003	0.01297056	0.01111829	0.2182092	0.03986039	14	61.95214	0.2293274	44.6996	15.7276	23.0846	25.0101	23.7728	14.5423	15.1828	19.7122	19.9332	12.2025	14.405	7.52741	10.0604	12.1197	8.96772	4.14954	5.14957	9.86206	15.7144	8.39503	23.0262	22.0729	22.9472	15.9835	18.2012	25.8426	26.5525	23.2662	25.0341	37.941	26.1763	33.2317	24.3226	41.0675	45.7122	43.51	42.3112	38.1865	0.9515178
2100	-1996.688	-1649.656	-347.0319	51.10481	0.01443828	-0.01099377	0.1467707	0.05311704	13	68.39115	0.1357769	44.8644	14.892	24.3915	27.7686	25.8932	12.7695	15.6588	17.7608	20.36	15.9401	14.9942	7.52741	7.40318	12.1197	8.89863	3.44953	5.1444	8.73452	14.7161	11.575	22.6988	21.3659	22.5667	15.9835	18.0707	27.8623	27.0439	23.2662	24.7078	37.941	23.2472	33.2317	24.958	41.0675	43.284	42.3984	45.8139	36.3029	1.080969
2200	-2002.241	-1650.214	-352.027	53.49014	0.01376042	0.005011608	0.2373589	0.03880472	10	62.79275	0.2423705	44.8644	17.1176	24.4421	26.9843	25.1509	15.0843	15.9186	17.1372	19.7252	14.8501	15.5707	7.92707	9.51576	12.0882	11.2925	4.94715	5.1444	9.18469	13.4749	13.0928	22.737	20.9687	20.9329	15.9835	19.7829	26.3834	27.0439	23.2662	27.6286	34.5822	25.4292	33.2317	24.958	41.0675	42.8099	42.0624	42.8215	37.3062	0.9793225
2300	-1992.861	-1645.629	-347.2316	54.27234	0.01322492	-0.008415368	0.2641309	0.06403302	11	61.49829	0.2557155	47.7051	14.2812	24.4693	23.3992	25.8134	13.9694	11.375	18.0408	19.7252	15.4229	15.1351	8.46265	11.2129	12.0882	11.2925	6.33597	5.1444	8.62285	15.2654	13.4068	22.3064	21.9351	22.4043	15.9835	19.0939	27.3563	23.292	23.7991	28.0468	34.5822	28.5793	31.2124	27.9327	41.0072	41.5098	43.7087	41.7763	39.9066	1.032909
2400	-1989.405	-1638.922	-350.4824	54.40031	0.01320417	0.04872034	0.1829583	0.05282359	12	63.31994	0.2316787	47.7051	14.4846	23.5362	26.2172	23.5548	15.6907	16.1983	18.7437	19.7252	15.0155	14.299	7.40157	9.53979	12.0882	11.2925	5.19159	5.1444	8.62285	14.807	9.82325	22.1441	22.7541	21.8861	15.9835	16.6659	25.1626	23.292	23.1402	28.0468	36.3553	25.597	31.2124	25.8293	41.0072	41.5098	46.7738	41.7763	39.9066	0.7897073
2500	-2002.926	-1652.704	-350.2226	56.76185	0.01197217	0.0248772	0.1433993	0.08638236	13	65.80602	0.1682765	44.9761	14.0837	23.4593	26.6146	23.5548	13.99	16.5362	18.7437	18.7327	14.4993	14.4872	10.5203	9.81639	11.6217	10.7012	2.97732	5.26516	8.89568	14.5561	9.82325	22.9202	22.8293	21.2455	15.9835	16.8556	25.1527	23.292	23.1402	28.0468	36.7328	26.7092	31.2124	26.2984	41.0072	44.9797	45.401	43.2471	36.9531	0.8521648
2600	-1994.664	-1641.651	-353.0136	58.43351	0.01291257	0.04012701	0.2032519	0.05539437	9	61.46842	0.2433789	44.9761	15.2793	23.2918	26.7265	27.8311	11.2478	13.6081	20.04	18.0406	13.4049	14.4872	7.49517	9.73567	11.6258	9.02504	3.66051	5.26516	9.79431	14.3091	11.8822	20.8373	20.574	21.2455	15.9835	16.5678	27.2331	25.0836	23.1402	28.0468	36.7328	30.2621	31.2124	26.2984	41.0072	46.8005	44.9518	46.337	37.0099	0.8351254
2700	-1998.903	-1654.283	-344.6206	54.00488	0.01501891	-0.003539254	0.09143703	0.05601258	15	60.43159	0.08789778	43.3346	17.2208	23.8872	26.7265	26.9507	17.0212	15.3514	20.04	20.1353	13.8644	14.4872	10.9323	9.76552	12.1741	10.8303	5.5126	5.26516	9.03957	14.2857	8.2247	22.2214	21.2944	21.2455	16.2896	17.2398	25.7166	25.0836	23.1402	28.0468	37.8225	23.1782	30.8112	25.7283	41.0072	46.8005	42.9018	43.5336	37.0099	1.040266
2800	-1987.407	-1646.45	-340.9574	54.63278	0.01260108	0.02458121	0.1982539	0.05067245	14	60.97621	0.2228351	43.3346	15.3653	23.1857	23.2895	26.7269	13.7714	16.4076	18.9338	18.8488	14.3695	15.8244	8.48034	9.72101	11.5833	10.5374	6.01669	5.26588	8.02734	15.2393	9.40129	21.7586	21.9328	20.5721	16.2896	16.8056	25.6712	23.8905	23.1402	26.8502	37.598	26.4212	29.6515	24.504	40.4867	45.0497	43.9711	43.48	34.2397	0.8896888
2900	-1993.718	-1653.371	-340.3468	52.54158	0.01663675	-0.02137061	0.2934062	0.0537326	13	63.08888	0.2720356	43.3346	15.5883	23.1715	25.1177	26.7269	11.5171	13.8767	18.9338	18.8488	12.3735	15.2293	8.7682	9.48071	12.3562	9.80449	6.57579	5.0871	8.57659	15.867	9.90165	22.2388	22.1381	20.5721	16.9594	16.1779	27.0593	25.9079	23.1402	27.8613	37.598	25.7415	30.7375	24.504	40.4867	45.1439	41.3149	42.8027	34.2397	1.078558
3000	-1998.462	-1655.287	-343.1744	51.66691	0.01351555	0.005052503	0.2552431	0.05376485	14	73.20473	0.2602956	43.3346	15.5883	24.0767	24.085	27.1985	12.9108	15.058	19.7908	20.2258	13.2473	15.2251	8.38169	9.89505	11.2795	8.28314	5.31384	5.00606	5.37029	12.7642	9.14308	20.8414	22.1381	20.5721	16.6836	16.1779	27.5335	25.0018	23.8112	27.8613	37.6177	25.0377	30.381	24.1801	40.4867	45.1439	42.1399	41.7201	36.0194	0.9805894
3100	-2001.533	-1653.647	-347.8859	56.92958	0.01239511	0.000525927	0.22704	0.03641195	13	62.51477	0.2275659	46.7683	18.2327	23.6132	26.2338	27.1985	13.9408	15.2585	19.7908	20.3874	14.7994	15.0112	9.37322	10.7063	11.9339	11.4155	4.30402	5.03395	10.0227	10.2658	5.93321	22.2285	21.7624	22.4499	16.2085	20.4563	27.7101	23.8864	23.8112	26.8896	37.6177	29.7036	29.0676	23.7008	41.1403	43.2569	46.7587	43.6369	40.3891	0.9976889
3200	-2008.584	-1648.266	-360.3181	55.14752	0.01234262	0.03851862	0.1549514	0.03642558	11	69.3376	0.19347	47.4106	18.2327	24.5387	24.8651	27.1985	13.3776	11.8192	19.7908	20.3874	15.209	15.2549	9.14389	10.089	12.2692	9.41002	5.80437	5.17271	9.15008	13.9343	8.4866	21.7434	22.3622	20.608	16.3885	19.8887	27.7634	25.9461	23.8112	26.8896	37.9425	26.1153	32.0825	23.7008	39.3283	43.2569	46.2814	42.4926	33.9819	0.8009065
